lower,upper,comparison,estimate,se,p.val.adj,p.val.raw,group1,group2,variable
0.2483,0.4283,t2-t0,0.34,0.09,0,0,t0,t2,Shannon
-0.432,-0.23,t4-t2,-0.33,0.1,0,0,t2,t4,Shannon
-0.1233,0.1061,t6-t4,-0.01,0.11,1,0.8825,t4,t6,Shannon
-0.0789,0.1684,t8-t6,0.04,0.12,1,0.4758,t6,t8,Shannon
-0.3449,-0.1076,t10-t8,-0.23,0.11,0.0051,2e-04,t8,t10,Shannon
-0.1402,0.1305,tM-t10,0,0.14,1,0.9435,t10,tM,Shannon
9e-04,0.004,t2-t0,0,0,0.0536,0.0026,t0,t2,Simpson
-0.0079,-0.0037,t4-t2,-0.01,0,0,0,t2,t4,Simpson
0,0.0045,t6-t4,0,0,1,0.048,t4,t6,Simpson
-0.002,0.0026,t8-t6,0,0,1,0.7925,t6,t8,Simpson
-0.0039,0.0011,t10-t8,0,0,1,0.2587,t8,t10,Simpson
-0.005,0.0011,tM-t10,0,0,1,0.2144,t10,tM,Simpson
176.3998,282.2339,t2-t0,229.32,52.92,0,0,t0,t2,Chao1
-93.2773,8.7601,t4-t2,-42.26,51.02,1,0.104,t2,t4,Chao1
-124.3679,7.6759,t6-t4,-58.35,66.02,1,0.0828,t4,t6,Chao1
-64.6447,79.5483,t8-t6,7.45,72.09,1,0.8384,t6,t8,Chao1
-181.8376,-58.3362,t10-t8,-120.09,61.75,0.0039,2e-04,t8,t10,Chao1
86.5644,205.8415,tM-t10,146.2,59.64,1e-04,0,t10,tM,Chao1
-40.1128,72.2671,t10-t0,16.08,56.19,1,0.5731,t0,t10,Chao1
98.076,226.4841,tM-t0,162.28,64.2,0,0,t0,tM,Chao1
86.5644,205.8415,tM-t10,146.2,59.64,1e-04,0,t10,tM,Chao1
-0.282,-0.0836,t10-t0,-0.18,0.1,0.0078,4e-04,t0,t10,Shannon
-0.3164,-0.059,tM-t0,-0.19,0.13,0.1026,0.0049,t0,tM,Shannon
-0.1402,0.1305,tM-t10,0,0.14,1,0.9435,t10,tM,Shannon
-0.0043,-2e-04,t10-t0,0,0,0.6844,0.0326,t0,t10,Simpson
-0.0069,-0.0014,tM-t0,0,0.01,0.0798,0.0038,t0,tM,Simpson
-0.005,0.0011,tM-t10,0,0,1,0.2144,t10,tM,Simpson
